station,model,target,rmse,mae,r2,n_rows
ALL,multi_ridge,y_PM2.5_t+1,5.659544467926025,2.1759612560272217,0.9163690623180492,57624
ALL,multi_ridge,y_PM10_t+1,0.3454040884971618,0.1324783712625503,0.8310642034822081,57624
ALL,multi_ridge,y_NO2_t+1,0.1502269506454467,0.0605912208557128,0.9275926950957726,57624
ALL,multi_ridge,y_SO2_t+1,0.3750323355197906,0.0868848338723182,0.2075943237110151,57624
ALL,multi_ridge,y_CO_t+1,0.5321782827377319,0.1272089183330536,0.5670177005870487,57624
ALL,multi_ridge,y_O3_t+1,1.2840571403503418,0.1530701071023941,-0.1166398403089514,57624
ALL,multi_ridge,y_NH3_t+1,0.0482571460306644,0.0225321426987648,0.9132914748631088,57624
ALL,multi_ridge,y_NO_t+1,0.3022395670413971,0.1049296557903289,0.9134866710241544,57624
ALL,multi_ridge,y_NOX_t+1,0.2113532125949859,0.0780822113156318,0.9192974338270816,57624
ALL,multi_ridge,y_BENZ_t+1,0.473542183637619,0.1583435386419296,-1.6179168616309334,57624
AIIMS,multi_ridge,y_PM2.5_t+1,3.773033857345581,1.9706063270568848,0.9666296839390444,17823
AIIMS,multi_ridge,y_PM10_t+1,0.2195514589548111,0.1211124062538147,0.925559947368755,17823
AIIMS,multi_ridge,y_NO2_t+1,0.0653007179498672,0.0354298464953899,0.9934550608453594,17823
AIIMS,multi_ridge,y_SO2_t+1,0.5110946893692017,0.0929986611008644,0.1837044678687998,17823
AIIMS,multi_ridge,y_CO_t+1,0.1502488553524017,0.0873054563999176,0.915459462384842,17823
AIIMS,multi_ridge,y_O3_t+1,0.2780969738960266,0.1180627793073654,0.4922861390966132,17823
AIIMS,multi_ridge,y_NH3_t+1,0.0470511391758918,0.0227198749780654,0.9522583586396056,17823
AIIMS,multi_ridge,y_NO_t+1,0.2977145910263061,0.0845760032534599,0.9196921609984796,17823
AIIMS,multi_ridge,y_NOX_t+1,0.2121985107660293,0.0606579035520553,0.9495461308331552,17823
AIIMS,multi_ridge,y_BENZ_t+1,0.296553373336792,0.2168062478303909,0.0813663956387518,17823
BHATAGAON,multi_ridge,y_PM2.5_t+1,7.362112998962402,2.372544527053833,0.8017721927048145,17704
BHATAGAON,multi_ridge,y_PM10_t+1,0.4039639234542846,0.1216947138309478,0.7028954163665557,17704
BHATAGAON,multi_ridge,y_NO2_t+1,0.1938795894384384,0.0869200080633163,0.6924259223381053,17704
BHATAGAON,multi_ridge,y_SO2_t+1,0.2576296031475067,0.0793180614709854,0.2411302515172027,17704
BHATAGAON,multi_ridge,y_CO_t+1,0.917755961418152,0.1755392402410507,0.4562347909367426,17704
BHATAGAON,multi_ridge,y_O3_t+1,0.8677892088890076,0.1564951688051223,-0.0958547139105783,17704
BHATAGAON,multi_ridge,y_NH3_t+1,0.0319326482713222,0.0175559129565954,-6.425364683855668,17704
BHATAGAON,multi_ridge,y_NO_t+1,0.2891450524330139,0.1313132047653198,0.9259939349414636,17704
BHATAGAON,multi_ridge,y_NOX_t+1,0.1747049242258072,0.0926576182246208,0.900494222901587,17704
BHATAGAON,multi_ridge,y_BENZ_t+1,0.6530433893203735,0.1376166492700576,-31.78724394249081,17704
IGKV,multi_ridge,y_PM2.5_t+1,2.895075798034668,1.6505118608474731,0.9672640102616656,12901
IGKV,multi_ridge,y_PM10_t+1,0.13936248421669,0.0795265510678291,0.9308723344673852,12901
IGKV,multi_ridge,y_NO2_t+1,0.0985379964113235,0.0328543670475482,0.7881819964496553,12901
IGKV,multi_ridge,y_SO2_t+1,0.3281598687171936,0.0791673585772514,0.3604835940000503,12901
IGKV,multi_ridge,y_CO_t+1,0.1370203644037246,0.0817236751317977,0.8957683480455297,12901
IGKV,multi_ridge,y_O3_t+1,0.6460707783699036,0.1418455988168716,0.1042572537705962,12901
IGKV,multi_ridge,y_NH3_t+1,0.0610606297850608,0.025601714849472,0.4555621589100423,12901
IGKV,multi_ridge,y_NO_t+1,0.2586697936058044,0.0595535896718502,0.573562579300563,12901
IGKV,multi_ridge,y_NOX_t+1,0.2187656611204147,0.0516711063683033,0.5545175079376558,12901
IGKV,multi_ridge,y_BENZ_t+1,0.2032975554466247,0.1021180376410484,-0.4782949932844771,12901
SILTARA,multi_ridge,y_PM2.5_t+1,7.550749778747559,2.932655096054077,0.9080045436321158,9196
